Start time|End time|Protocol|Source IP|Destination IP|Source Port|Destination Port|Byte size|Packet count|Attack 
1568918568202903|1568918628174060|17|86.2.41.130|64340|200.19.107.238|19|19256|664|True
1568918568168913|1568918628149238|17|86.2.41.130|64340|200.19.107.255|19|19140|660|True
1568918568136763|1568918628070917|17|86.2.41.130|5642|200.19.107.255|19|21257|733|True
1568918568008057|1568918627933426|17|86.2.41.130|5642|200.19.107.238|19|21315|735|True
1568918547784487|1568918607762154|17|173.91.13.248|4040|200.19.107.238|19|21373|737|True
1568918547678081|1568918607653402|17|173.91.13.248|4040|200.19.107.255|19|21373|737|True
1568918547504294|1568918607472893|17|173.91.13.248|23516|200.19.107.238|19|19401|669|True
1568918547379957|1568918607356579|17|173.91.13.248|23516|200.19.107.255|19|19285|665|True
1568918508183273|1568918568107398|17|86.2.41.130|64340|200.19.107.238|19|19314|666|True
1568918508158820|1568918568077167|17|86.2.41.130|64340|200.19.107.255|19|19314|666|True
1568918508093806|1568918568053779|17|86.2.41.130|5642|200.19.107.255|19|21199|731|True
1568918507959707|1568918567931430|17|86.2.41.130|5642|200.19.107.238|19|21199|731|True
1568918487736753|1568918547700754|17|173.91.13.248|4040|200.19.107.238|19|20677|713|True
1568918487666735|1568918547598201|17|173.91.13.248|4040|200.19.107.255|19|20735|715|True
1568918487460650|1568918547413873|17|173.91.13.248|23516|200.19.107.238|19|19343|667|True
1568918487335770|1568918547292203|17|173.91.13.248|23516|200.19.107.255|19|19343|667|True
1568918448117494|1568918508093137|17|86.2.41.130|64340|200.19.107.238|19|19372|668|True
1568918448092441|1568918508067068|17|86.2.41.130|64340|200.19.107.255|19|19430|670|True
1568918448013593|1568918508012764|17|86.2.41.130|5642|200.19.107.255|19|20155|695|True
1568918447949552|1568918507873860|17|86.2.41.130|5642|200.19.107.238|19|20068|692|True
1568918427659644|1568918487649911|17|173.91.13.248|4040|200.19.107.238|19|20097|693|True
1568918427626593|1568918487536178|17|173.91.13.248|4040|200.19.107.255|19|20039|691|True
1568918427378360|1568918487368757|17|173.91.13.248|23516|200.19.107.238|19|19372|668|True
1568918427256353|1568918487247394|17|173.91.13.248|23516|200.19.107.255|19|19314|666|True
1568918388073015|1568918448026218|17|86.2.41.130|64340|200.19.107.238|19|19488|672|True
1568918388049495|1568918448001513|17|86.2.41.130|64340|200.19.107.255|19|19459|671|True
1568918387989963|1568918447925721|17|86.2.41.130|5642|200.19.107.255|19|20242|698|True
1568918387931455|1568918447866684|17|86.2.41.130|5642|200.19.107.238|19|20271|699|True
